"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"CC06-1-SILVER_PINK-39","CC06-1-SILVER_PINK-39",1.000,0.00,0.00,0.00,0.00,0.00,
"CC06-1-WHITE-36","CHW CC06-1 Women’s Sneakers - WHITE / 36 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"CC06-1-WHITE-37","CC06-1-WHITE-37",1.000,0.00,0.00,0.00,0.00,0.00,
"CC06-1-WHITE-38","CHW CC06-1 Women’s Sneakers - WHITE / 38 *KAMPANJ*",2.000,0.00,0.00,0.00,149.50,-149.50,
"CC08-BEIGE-36","CHW CC08 Women’s Sneakers - BEIGE / 36 *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"CF1-B-US","CF1 Sweater Women’s - Beige / Universal Size *KAMPANJ*",1.000,239.40,59.85,299.25,149.50,89.90,0.37552213868003341688
"CF1-G-US","CF1 Sweater Women’s - Gray / Universal Size *KAMPANJ*",1.000,239.40,59.85,299.25,149.50,89.90,0.37552213868003341688
"CF1-P-US","CF1 Sweater Women’s - Purple / Universal Size *KAMPANJ*",2.000,478.80,119.70,598.50,299.00,179.80,0.37552213868003341688
"CF6-W-US","CF6 Sweater Women’s - White / Universal Size *KAMPANJ*",1.000,239.40,59.85,299.25,149.50,89.90,0.37552213868003341688
"CHB335-Black-11-12","MG CHB335 Childrens Sporty Winter Tracksuit - Black / 11-12 *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"CHB335-Brown-9-10","MG CHB335 Childrens Sporty Winter Tracksuit - Brown / 9-10 *KAMPANJ*",1.000,0.00,0.00,0.00,164.50,-164.50,
"CK22-BLACK-40","CHW CK22 Women’s Sneakers - BLACK / 40 *KAMPANJ*",5.000,0.00,0.00,0.00,747.50,-747.50,
"CK22-WHITE-37","CK22-WHITE-37",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"CK22-WHITE-38","CHW CK22 Women’s Sneakers - WHITE / 38 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"CK22-WHITE-40","CHW CK22 Women’s Sneakers - WHITE / 40 *KAMPANJ*",2.000,0.00,0.00,0.00,149.50,-149.50,
"D71-BROWN-39","L6627 Sneakers - Black / 39 *KAMPANJ*",1.000,0.00,0.00,0.00,84.50,-84.50,
"D71-BROWN-41","L6627 Sneakers - Black / 41 *KAMPANJ*",2.000,268.04,67.00,335.04,169.00,99.04,0.36949708998656916878
"D8666-10-Louis-Brown","MS D8666-10 Women'S Handbag - Brown *KAMPANJ*",32.000,1832.16,458.04,2290.20,3084.50,-1252.34,-0.68353200593834599598
"D8666-22-Black","MS D8666-22 Women's Handbag - Black *KAMPANJ*",16.000,1433.60,358.40,1792.00,796.00,637.60,0.44475446428571428571
"DL596-Beige-OneSize","MG DL596 Women’s Sporty Long Cotton Dress - Beige / One Size *KAMPANJ*",1.000,262.82,65.71,328.53,164.50,98.32,0.37409633970017502473
"DL596-Black-One Size","MG DL596 Women’s Sporty Long Cotton Dress for Casual Wear",7.000,885.60,221.40,1107.00,0.00,885.60,1.00000000000000000000
"DL596-Brown-One Size","DL596-Brown-One Size",1.000,295.20,73.80,369.00,0.00,295.20,1.00000000000000000000
"DL596-Grey-One Size","DL596-Grey-One Size",1.000,295.20,73.80,369.00,0.00,295.20,1.00000000000000000000
"DV507-Beige-XL","MG DV507 Women’s Sporty Winter Tracksuit - Beige / XL *KAMPANJ*",1.000,402.86,100.72,503.58,249.50,153.36,0.38067815121878568237
"DV507-Grey-XL","MG DV507 Women’s Sporty Winter Tracksuit - Grey / XL *KAMPANJ*",1.000,402.86,100.72,503.58,249.50,153.36,0.38067815121878568237
"e4c4f990","Stylish And Comfortable 6607 Leggings For Everyday Wear",11.000,554.40,138.60,693.00,0.00,554.40,1.00000000000000000000
"EE06-BLACK-37","EE06-BLACK-37",0.000,0.00,0.00,0.00,0.00,0.00,
"EE06-BLACK-38","CHW EE06 Women’s Sneakers - BLACK / 38 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"EE06-BLACK-40","CHW EE06 Women’s Sneakers - BLACK / 40 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"EE06-GREY-36","CHW EE06 Women’s Sneakers - GREY / 36 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"EE06-GREY-39","EE06-GREY-39",1.000,0.00,0.00,0.00,0.00,0.00,
"EE06-PINK-36","EE06-PINK-36",1.000,0.00,0.00,0.00,0.00,0.00,
"EE06-PINK-39","CHW EE06 Women’s Sneakers - PINK / 39 *KAMPANJ*",1.000,239.68,59.92,299.60,149.50,90.18,0.37625166889185580774
"G8666-31-London-Brown","MS G8666-31 Women's Handbag - Brown *KAMPANJ*",14.000,955.36,238.84,1194.20,298.50,656.86,0.68755233629207837883
"G8666-38-Coffee","MS G8666-38 Women's Handbag - Coffee *KAMPANJ*",2.000,159.36,39.84,199.20,199.00,-39.64,-0.24874497991967871486
