"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 480;2025-06-18;Lokalhyra - med moms;;;;19 983,00;-6 006,58
;A 481;2025-06-18;Loan from Director to Company - Cash Flow Support;;;11 000,00;;4 993,42
;A 482;2025-06-18;Bankgiro - Avgift med moms;;;;250,00;4 743,42
;A 479;2025-06-19;B06194827606 - Worldline kortbetalning;;;602,96;;5 346,38
;A 478;2025-06-23;B06214886452 - Worldline kortbetalning;;;2 546,18;;7 892,56
;A 474;2025-06-24;Repayment of Director's Loan;;;;20 000,00;-12 107,44
;A 475;2025-06-24;Repayment of Director's Loan;;;;12 713,12;-24 820,56
;A 476;2025-06-24;Auronis Repayment of Director's Loan;;;;11 000,00;-35 820,56
;A 477;2025-06-24;ABET.DEPOSIT - àterbetalning;;;120 000,00;;84 179,44
;A 472;2025-06-25;B06254970813 - Worldline kortbetalning;;;1 625,80;;85 805,24
;A 473;2025-06-25;Nñtet - El/internet med moms;;;;624,00;85 181,24
;A 468;2025-06-27;skatt och arbetsgivare abdi;;;;6 707,00;78 474,24
;A 469;2025-06-27;ln abdi 13dag;;;;7 644,00;70 830,24
;A 470;2025-06-27;Repayment of Director's Loan;;;;45 000,00;25 830,24
;A 471;2025-06-27;SK5594895301 - Government Support (Two-step);;;21 027,00;;46 857,24
;A 465;2025-06-30;B06305111839 - Worldline kortbetalning;;;1 892,47;;48 749,71
;A 466;2025-06-30;B06285059190 - Worldline kortbetalning;;;6 280,39;;55 030,10
;A 467;2025-06-30;Bankgiro - Avgift med moms;;;;248,00;54 782,10
